"product_id","text"
"1","상품명: [SET] RIBBON CRESCENT BAG & POODLE POUCH & KEYRING SET
상품 유형: 가방
브랜드명: 마크니
사용자 리뷰:
- 데일리템으로 휘뚜루 사용할 크로스백 찾다가 시켰는데 실물도 맘에 들어요 !
- 고민하다가 후기 예뻐서 샀어요. 사진하고 똑같고 안에 주머니도 나눠져 있어 편해요. 이쁜건 말 할꺼 없어요~ 고양이 키링도 너무 귀여워요.
- 아주아주 마음에 들어요.사이즈도 적당하고
인형도 귀엽고 끈을 반리본으로 해서 묶었더니 특이하면서도
여성스럽고 귀여워요
- 귀여운 가성비 세트입니다!! 리본 자꾸 잘 풀려서 그렇지 수납공간 좋고 키링 인형도 귀엽고 파우치도 가볍고 좋음요
- 그냥 휘뚜루마뚜루 들고싶어서 찾아보다가 구성품에 가격까지 괜찮아서 주문했능데 생각보다 훨씬귀엽공 수납도 생각보다 엄청 낭낭하구요, 매보니까 너무편해요!! 완전 잘샀다싶은 가방 오랜만ㅎㅎ리본이 포인트되서 심심하지도않고 넘예뻐영!!
- 너무너무 귀여워요 가볍고 수납좋고
리본 인형 파우치 다 이뻐요
- 여행가려고 구매했는데 사이즈도 제가 생각한대로 나와서 만족스러웠어요! 평상시에도 잘 쓰고 다닐 것 같아요
- 완젼 편하게 들기좋아요~가격대비 좋아요~~
여행가서도 좋을듯해요
- 편하고 마구 매고 다니기 좋아요!!! 귀엽고 예뻐요오
- 고민하다가 후기 예뻐서 샀어요. 사진하고 똑같고 안에 주머니도 나눠져 있어 편해요. 이쁜건 말 할꺼 없어요~ 고양이 키링도 너무 귀여워요."
"2","상품명: TWO POCKET SQUARE CROSS BAG
상품 유형: 가방
브랜드명: 메종미네드
사용자 리뷰:
- 2키로정도 넣으면 길이 어깨끈 길이가 점점 길어지다가 어깨끈 풀립니다
- 수납공간이 생각보다 넓어서 좋았눈데 가방끈이 계속 빠져서 좀 어쉬워영
- 외관은 매우 깔끔하지만 아쉬운 부분이 많습니다. 내부마감이 제대로 되어있지 않았고 지퍼가 퍽퍽해서 열고닫기 불편합니다. 실용성말고 보여지는 부분만 중요하다면 괜찮은 선택입니다.
-
- 아들이 멜 가방이 필요해서 봤는데 쿠폰 써서 싸게 산거 같고 고리들이 다 고급지고 튼튼하고 이쁘고 가방 사이즈도 딱 좋아요. A4 파일도 들어가네요
- 디자인 굿, 활용도 굿, 부자재 굿
고민하다 쿠폰 할인받아서 샀는데 만족함
- 가성비 좋습니다, 색상도 너무 이쁘게 나온거 같습니다 수납공간도 커서 괜찮아요
- 옷 안가리고 어디든 이쁩니다 가방 사이즈도 적당하구 수납도 널널합니다
- 캐쥬얼 코디에 찰떡인 거 같아요 크기도 적당하고 수납공간도 생각보다 넓습니다
- 사이즈가 좀 컸으면 하는 바램이 있지만 천의 재질도 좋고 주머니도 많아서 쓸모가 많습니다"
"3","상품명: 스트롤 백팩 903 [3color]
상품 유형: 가방
브랜드명: 로우로우
사용자 리뷰:
- 패드 들고 다니시는 직장인, 대학생분들에게 [로우로우 - 스트롤 백팩903]을 추천 드리고 싶어요!

 1) 저는 이 가방을 언박싱을 하면서 부터 “정말 잘 만들어진 가방이구나”를 느꼈습니다.
- 스트롤 가방은 앞쪽 주머니에 물건을 넣으면 혹여나 물건이 분실되지 않을까하는 걱정이 드는데, 이 가방은 똑딱이, 스트롤 두가지 이중잠금으로 되어있어 그럴 걱정이 없어요!
그리고 앞주머니 스트롤 안에는 자크로 된 주머니가 또 있어서 소중한 물건을 따로 넣을 수 있어서 분실 걱정 정말 없어요! 그 외에도 가방에 쓰인 밴딩, 재료들이 부드럽고 탄탄했어요. 가방을 눈으로 보고 손으로 만져보니 좋은 재료들로 만들었구나 바로 느껴졌어요!
- 가방내부에는 노트북 가방처럼 푹신푹신하게 패드 넣을 수 있는 공간이 있어서 안전하게 보관가능해요!
그리고 가방 바닥부분은 가죽으로 되어있어 흐물흐물 거리지 않고 물건 많이 넣어도 쳐짐 없어요!

 2) 1박2일 여행을 갈때 이 가방을 들고 갔었는데 여러가지 물건들을 넣고도 공간이 넉넉했어요!

 3) 가방이 너무 작지도 않고 딱 적당한 크기여서 좋았고 디자인도 깔끔하고 호불호 갈리지 않는 스타일이라 누구나 편히 드실 수 있을것 같아요!

구매하시는데 제 리뷰가 도움이 되셨기를 바라며, [로우로우 - 스트롤 백팩903] 추천드릴게요🙇🏻‍♀️‼️
- 미니백팩이 가지고 싶었는데 너무 딱 좋아요!!
1. 크기/ 수납력
크기는 아이패드에 책 두 권 정도 들어가구요, 앞주머니 속에도 지퍼가 있어서 넘 좋아요. 가방 내부에는 아이패드나 노트북 자리가 따로 있구요! 노트북이 들어갈지는 모르겠네용!
2. 디자인
색상 약간 연보라색이 돌아서 봄/여름에 너무 예쁠 것 같아요! 어깨끈 시작점 옆쪽에 고리가 있어서 인형 걸기도 좋아용ㅎㅎ 소재가 꽤나 얇고 가벼운 천이라서 사실 지금 계절에는 안맞는 것 같아요! 색상까지 라이트톤의 옅은 연보라+회색이라 주름이 살짝 잘 보이기도 하구요! 검정이라면 계절에 상관없이 잘 멜 수 있을 것 같아요!

본주머니 내부에는 물병 고정할 수 있는 끈(?) 하나, 노트북자리 하나 있습니다. 공간이 많이 나뉘어 있지는 않아요! 그렇지만 앞주머니도 꽤 널널하도 그 안에 또 지퍼가 있기 때문에 중요한 물건이나 펜처럼 삐져나오기 쉬운 물건들 넣기 좋아요ㅎㅎ 내년 봄에 주구장창 메고 다닐 것 같네용
- 로우로우 스트롤 백팩 903 [3color] 퍼플

저는 가방 디자인과 수납력은 반비례하다고 생각했어요
아무래도 작고 예쁜 가방은 수납력이 안좋은 경우가 많으니까,,
 But 이 제품은 수납력 최강입니다 ! 첫번째 사진 탄탄한 지압슬리퍼 2개와 박스 한개, 가디건 한개가 들어있다는 게 믿기시나요,,, 수납력에 감동했습니다,,
작은 백팩같지만 내부에 수납공간이 많고 스트링 백 같은 느낌이라 생각보다 엄청 많이 들어가요👍 튼튼한 가방끈으로 들고 다니기도 너무 편합니다

 색감은 마지막 사진과 가장 비슷해요 보라색 러버분들은 살 수밖에 없는 색감. 어두운 톤의 보라색과 다양한 그레이 포인트로 코디하기 정말 편하답니다
여행갈 때마다 같이갈 동반자가 생겼어요 ㅎㅎ
- 스트링백팩이 유행하며 여기저기서 많이 나왔는데
대부분은 너무 힘이 없다는게 단점이었어요ㅠ
그런데 이 백팩은 원단이 축 처지지 않고 힘이 있어요!
사진처럼 아이패드 전공책 노트 3단 우산 다 넣어도
모양이 무너지지 않고 자석 똑딱이도 열리지 않네요

그리고 요새 키링이 유행하며 가방에 키링 장착은 필수인데
지퍼에 달면 은근 불편하거든요ㅠ
이 백팩은 옆에 키링 걸 수 있게 별도의 고리가 있어서
심플하게 멋내기 좋네요ㅎㅎ
이런 사소하지만 차별화된 디테일이 좋습니다

160정도의 아담한 키에도 잘 어울리고
작지만 수납력이 좋아서 정말 강력추천합니다!
검은색 가방이 많아 이번엔 산뜻하게 보라색이 어떨까 싶었는데
보라색 가방에 포인트로 그레이색이 섞여서 단조롭지 않고 세련된 느낌입니다!
- 가을느낌 퍼플살려 색 너무 예쁨 :)
오무리는 입구 모양 예쁘게 잘잡히고 수납공간 틈틈히 만들어놔서 데일리로 쓰기도 좋고 여행용으로도 좋아요 대용량 백에 이것저것넣고 앞쪽
스트랩 매듭 꽂으면 안벌어져서 가방모양 살려주구
퍼플이랑 그레이 조합이 실제로 보면 더예뻐요
폭이 조금 좁은감은 있는데 그래서 안쳐져보임!!
키 167인데 스트랩 조절 더 할수있어서 남여공용사용 가능할듯
또 캔버스 재질이라 뭐 묻으면 물티슈로 쓱쓱
아니면 그물망 넣어서 세탁해도 될거같음
뒷쪽에 스웨이드 네이밍 공간도 깨알같이 잘뽑으셨네여
다른색도 갖고싶다…
남들 다갖는 블랙말고 포인트컬러로 굳
감사합니다
- 디자인이 이뻐 구매했어요~
크기도 원하는 크기여서 자주 들고다닐거같아요~
근데 재질이 먼지가 조금 달라붙네요ㅜ
그게 조금 아쉽네요
- 좋은 기회에 로우로우 백팩을 만나게 되었어요.
요 며칠 사용을 해봤는데요~
좋았던 점
이 가방 정말 가벼워요 그래서 가볍게 이것저것 넣기 너무 좋더라고요
요즘 학생들 태블릿 많이 가지고 다니잖아요? 안에 넣을 수 있는 공간이 있는데 이거 파손방지되게 약간 도톰한 재질이 들어가 있어요 그럼 외부 충격에서 보호도 될 것 같아요
또 가방 오른쪽에 밴드가 달려있길래 자세히 봤더니 텀블러 고정 밴드인 거 같더라고요~ 이런 거 있으면 은근 좋더라고요~ 텀블러 가방 안에서 이리저리 굴러다닐 일도 없고~~ 이런 세심한 부분에 감동!
앞부분 주머니는 자석 똑딱이가 있는데 열면 그 안에 지퍼로 잠글 수 있는 주머니가 있어요. 잘 굴러다니는 작은 물건들은 안에 넣어주고 지퍼 닫아주면 흘릴 일도 없고 세심하게 신경 쓴 부분들이 보였어요.

아쉬운 점
좋았던 점이 더 많지만 그래도 아쉬운 점은 가방이 방수 재질은 아닌데 겉에가 면 재질인지 물 닿으면 젖을 것 같아요~ 비 오는 날은 조심해야 되겠어요. 그리고 그렇게 크지 않아서 이것저것 많이 넣어다니는 분들은 작게 느껴질 수도 있을 것 같아요~ 저는 미니 가방을 좋아해서 이것도 적당하게 느껴졌어요.
- 요번에 로우로우 체험단 당첨 이벤트 후기를 적어보겠습니다!

가방 색상을 세가지 중 한 가지를 선택할 수 있길래 일단 저는 그레이 색상을 선택해보았습니다! 기본 중 기본인 블랙을 처음에 택할려다가 그레이 색상이 오묘하게 이쁘더라고요!
제가 기존에 가지고 있던 그레이 가방과 색상도 비슷하고 그전에 올라왔던 후기를 보고 그레이가 너무 예뻐서 선택한 것도 있습니다.

가방 용량은 제가 대학 다니면서 전공책도 넣고 다니는데 크기가 엄청 큰 책이 아닌 이상 일반 책들은 왠만해서 들어가는거 같더라고요! 가방 사이즈가 완전 미니는 아니고 딱 적당한 크기라서 그런지 너무 마음에 들고 아이패드 같은 귀중품 넣기 소중한 거는 따로 안쪽 내부에 칸으로 나눠 있어서 너무 좋더라고요!
보통 가방 밑부분을 안 바치는 경우도 많이 봤는데 로우로우 백은 밑 부분도 어느정도 바칠 힘이 있게 만들어 놨더라고요.

귀여운 키링도 걸 수 있는 부분도 있습니다! 완전 꾸미기 좋은백!

장점만 많다고 생각하실거 같은데 그게 맞는 가방인 것 같습니다. 그만큼 편한 부분이 많아 제가 계속 손이갈 정도로 사용 많이 해보고 적어보는 후기입니다!
- 색깔귀엽고 은근 수납력도 좋아요! 텀블러 넣는곳이 없긴한데 앞 주머니 사용하고 있습니다
- 색, 디자인, 재질 모두 취향저격 당한 인생 가방.. 무진장 세일 때 사서 가성비도 미쳤구요. 진짜 가방 닳으면 같은거로 또 살만한 가방임..!"
"4","상품명: 미니 리바운드 쇼핑 토트백 - 블랙 / PSAEUH61971LZZ
상품 유형: 가방
브랜드명: 아페쎄
사용자 리뷰:
- 요즘 날씨에 쓰기 좋아서 바로 사용했습니다. 무진장으로 득템했네요.
- 생각보다 더 마음에 들어요
짐도 많이 들어가고 편하게 잘 들고다닐 수 있어요
- 얼핏보면 목욕탕 가방같은? 그런 느낌이 나는 가방이에요"
"5","상품명: Nickel Card Wallet - Black
상품 유형: 가방
브랜드명: 락케이크
사용자 리뷰:
-
-
-
-
-
- 딸래미가 넘 좋아하네요
 배송도 파르고 디자인도 깔끔한편이라 부담없이 쓰기좋은듯해요
- 예쁘기는 한데 똑딱이가 없어서 아쉬워요 그래도 만족합니다
- 아들 사줬는데 너무 맘에 들었나봐요.
다만 똑딱이가 없어서 벌어져요
- 진짜 이쁘고 좋은데 자석이 없는게ㅠㅜㅜ 너무 아쉬워요….
- 심플하고 너무 예뻐요ㅠㅠ
배송도 너무 꼼꼼하고 예뻐서 선물받는 기분이었어요
가운데 로고가 너무 아름답습니다:○
재질도 특색있는거 같아서 너무 좋았어요
근데 여닫을때 잠금장치가 없는게 살짝 아쉬웠어요"
"6","상품명: Eclipse - Black
상품 유형: 가방
브랜드명: 마틴콕스
사용자 리뷰:
- 가죽이 싸구려 가죽느낌이 전혀 아니고 생각보다 수납도 좋은 것 같아요 동생이 탐내요 거참..
- 진짜 너무 예뻐요.. 택배 뜯자마자 너무 예뻐서 소리 질럿어요 ㅠ
포장도 너무 고급스럽게 되어 있고 작은데 수납공간도 충분해요 저 완전 바리바리스타인데도 만족합니더
- 여행에 가져갈 가방 고민중이었는데 딱 원하는 사이즈랑 디자인에 마침 할인중이라 구매했습니다. 배송도 빠르고 상품도 마음에 들어요! 버클 안쪽부분 마감이 쪼금 신경쓰이긴 하지만 양쪽 다 그런걸로 봐서 원래 그런 듯 하니 안고 가겠습니다~
- 박스에 잘 포장되었고 더스트백에 꼼꼼히 들어서 왔습니다. 아 열자마자 왜케 예쁘지..? 하고 육성으로 말했어요 ㅠ 적당한 유광에 약간 크랙이 있는 레더인데 너무 예쁘고 사이즈는 크진 않지만 제가 보부상은 아니라 딱 좋았어요 최고진짜너무예뻐요
- 생각보다 빤딱빤딱한데 저렴한 느낌의 광택은 아니어서 예뻐요! 선풍기도 들어가고 수납도 잘 돼서 잘 메고 다니게 되네요 끈 길이 조절 다양하게 잘 되는 점도 넘 좋아요!
-
- 편하게 매고 다닐 수 있어 좋아요 수납 공간도 많이 들어가요~ 정장 입고 가방 매도 괜찮더라구요~👍🏻
- 그냥 예뻐요 스타일링 하기도 무난하게 잘쓸거같아요
휘뚤마뚤템👍 색상 다 사고싶은 느낌?
-
- 1주일고민하고샀어요 결제하자마자바로발송되고 다음날바로받았어요 너무맘에들고 여러모로 다어울릴거같고 잘산거같아서너무좋아요"
"7","상품명: Clover Bag Black
상품 유형: 가방
브랜드명: 사비
사용자 리뷰:
- 개예뻐요 다들 사세요 코트에 입으면 존예입니다! 쾅쾅
- 휘뚜루마뚜루 마실용으로 들려고 구매했는데 꼬임포인트 너무 귀엽고 수납 넉넉해서 너무 좋아요 디자인도 은근 유니크한게 어느옷이 잘어울릴 디자인이에요
원래 들고다니던 가방에는 접는장뱌구니 안들어가는데 사비 크로버 백에는 다 들어가요 에어팟 카드지갑 지갑 립그로스 장바구니 차키 핸드폰 얼마나 편한지 몰라요~~
굳이 단점을 찾자면 키링 달려고 자크부분에 거는데 자크가 두꺼운 자크라서 키링달때 애좀 먹었어요 ㅎㅎ 이거 외엔 가성비좋고 장점만 가득한 가방이랍니다
- 긋긋 좋습니드 잘들고다닐거에용 출근가방으로 최고엥용
- 처음 상품을받고 가죽부분이 눌려져서 찍히고 접힌부분이있어서 교환요청을 하였습니다
그런데 똑같은상품으로 다시 재배송한듯해서 기분은 좋지않네요
(사진찍고 교환요청했던 그전제품그대로 같은위치에 똑같은 찍힘+접힌부분이 그대로였습니다)
배송은 빨리왔지만 아쉽네요

또 교환요청해도 똑같이올거같아요 그냥쓰려구요
- 와 생각보다 크기가 꽤 커서 이것저것 다 들어가요 사이즈 좋네요! 배송은 몇주 걸려서 받았지만 귀여워서 잘들구 다닐 거 같아요
- 이것저것 꽤 알차게 들어가요
넘무넘무 귀여븡 가방 ❣️
- 생각보다 작지만 디자인이 유니크하고 가벼워요
재질은 가죽이 아닌데도 부드러워요
가볍게 여기저기 들고 다니기 좋습니다
- 옆에 돌돌 말린게 포인트가 되서 좋아요 귀여운 인형키링 달 수 있도록 지퍼손잡이 부분이 커요! 만족합니다 근데 닫을때 한 쪽 지퍼 잡고 닫아야 해서 그건 좀 불편해요
- 개귀욤!
소재도 부드럽고 원래 작은 백을 좋아해서 크기도 아담하니
딱 좋아요.
- 지퍼가 조금 불편하긴 한데 큰 불편함은 아니라 들고 다닐만 해요. 그리고 가방 끈에 시그니처로 돌돌 말아 놓은 부분이 스타일리쉬해서 보는 사람마다 가방 예쁘다고 어디서 샀냐고 하네요ㅎㅎ 잘 들고 다닙니다😄"
"8","상품명: 미니 시그니처 로고 드로스트링 토트백 - 블랙 / 778214FAC3B1000
상품 유형: 가방
브랜드명: 생로랑
사용자 리뷰: "
"9","상품명: Riddle Bag · 리들백
상품 유형: 가방
브랜드명: 스탠드오일
사용자 리뷰:
- 여자친구 사줬는데요 아주 맘에들고 색감이쁘고 진짜좋아요
여자친구 만족중이에요 사진은 저보고 찍으라고해서
양해부탁드려요!
- 포장 엄청 꼼꼼하게 왔어요 가죽 부드럽고 생각보다 사이즈가 작아서 지갑은 못넣고 카드만 빼서 넣고 들었더니 괜찮았어요!
- 미쳤습니다... 가방 넘 이뻐여ㅠㅠ 재입고 되자마자 바로 구매했어요! 배송 완전 빨라요 그리고 가방 진짜 실물이 훨배 이뻐요. 수납력운 미니백이어서 기대 안했는데. 포인투 주기 너무 좋아서 다 용서돼요. ㅎㅎ 아! 근데 처음에 끈 연결하는게 넘 귀찮았는데 우여곡절 성공했슴니다. 올해 제일 잘 산 템❤️
- 레드 미니백을 사고 싶어서 한창 찾고 다니다 스탠드오일에서 신상 나왔길래 구매했어요!! 고민하는 중에 공홈에서 품절되서 슬펐는데 무신사 오픈하고는 재고있길래 바로 주문했습니당ㅎㅎ 사이즈도 적당히 수납가능해서 좋았고 딱 포인트 주는 컬러감도 너무 예뻤습니당ㅎㅎ 완전 만족해요!
- 마음에 드는 크기의 미니백이에요! 너무 예뻐요 만족
- 이뻐요 많이 안들고다녀서 크기는 딱좋음
쨍해서 포인트 주기 좋아요
- 포인트 될만한 레드백이 사고싶었는데 크기도 적당하고 무엇보다 가방 뒷면에 작은 수납포켓이 있어 가방 안 열어도 기후교통카드 넣고 다니기 아주 좋았어요 색상이 맑은 레드색은 아니고 살짝 탁한?레드라 조금 아쉽긴한데 가격대비 퀄리티나 크기가 맘에 들어서 손이 자주 가요 다들 구매하세요!
- 가방 사이즈가 어느정돈지 사실 모르고 디자인이 이뻐서 구입했는데 제가 생각한것보다 사이즈가 작아서 오히려 더 좋아요
구매당시에는 블랙은 후기가 별로 없었는데 꾸안꾸에 튀지않고 어떤 룩에도 잘어울릴것같아서 마음에 듭니다
- 색감도 좋고 부들부들한 재질이에요~
예뻐서 자꾸 만지다보면 밝은색이라서 때가 탈수도 있겠네요 ㅎ 아무튼 원하던 디자인에 원하던 크기라서 만족합니다^^
- 너무너무 이뻐요 매장가서 보구 눈에 들어와서 구매했는데 가방 사이즈도 딱이에요"
"10","상품명: 라피아 백 미니 토트 [브라운]
상품 유형: 가방
브랜드명: 드파운드
사용자 리뷰:
- 오프라인에서 보고 너무 맘에 들었는데 무신사가 더 싸서 여기서 샀어요 작은
가방 좋아하는데 크기
딱이구요 너무 이쁨
- 코디하기 좋고 배달 속도도 빨라 여름과 잘 어울리는 가방입니다."
